SampleID,depth,year,month,day,replicate,month_num,week_num
SPOT-5m-2014-06-18-a,5m,2014,Jun,18,a,6,25
SPOT-5m-2014-07-17-a,5m,2014,Jul,17,a,7,29
SPOT-5m-2014-08-13-a,5m,2014,Aug,13,a,8,33
SPOT-5m-2014-09-10-a,5m,2014,Sep,10,a,9,37
SPOT-5m-2014-10-1-a,5m,2014,Oct,1,a,10,40
SPOT-5m-2014-11-12-a,5m,2014,Nov,12,a,11,46
SPOT-5m-2014-12-8-a,5m,2014,Dec,8,a,12,50
SPOT-5m-2015-01-15-a,5m,2015,Jan,15,a,1,3
SPOT-5m-2015-02-18-a,5m,2015,Feb,18,a,2,8
SPOT-5m-2015-02-18-b,5m,2015,Feb,18,b,2,8
SPOT-5m-2015-02-18-c,5m,2015,Feb,18,c,2,8
SPOT-5m-2015-02-18-d,5m,2015,Feb,18,d,2,8
SPOT-5m-2015-02-18-e,5m,2015,Feb,18,e,2,8
SPOT-5m-2015-02-18-f,5m,2015,Feb,18,f,2,8
SPOT-5m-2015-03-12-a,5m,2015,Mar,12,a,3,11
SPOT-5m-2015-04-22-a,5m,2015,Apr,22,a,4,17
SPOT-5m-2015-05-20-a,5m,2015,May,20,a,5,21
SPOT-5m-2015-05-20-b,5m,2015,May,20,b,5,21
SPOT-5m-2015-05-20-c,5m,2015,May,20,c,5,21
SPOT-5m-2015-05-20-d,5m,2015,May,20,d,5,21
SPOT-5m-2015-05-20-e,5m,2015,May,20,e,5,21
SPOT-5m-2015-05-20-f,5m,2015,May,20,f,5,21
SPOT-5m-2015-07-14-a,5m,2015,Jul,14,a,7,29
SPOT-5m-2015-08-5-a,5m,2015,Aug,5,a,8,32
SPOT-5m-2015-09-9-a,5m,2015,Sep,9,a,9,37
SPOT-5m-2015-10-20-a,5m,2015,Oct,20,a,10,43
SPOT-5m-2015-10-7-a,5m,2015,Oct,7,a,10,41
SPOT-5m-2015-11-18-a,5m,2015,Nov,18,a,11,47
SPOT-5m-2015-12-18-a,5m,2015,Dec,18,a,12,51
SPOT-5m-2016-01-19-a,5m,2016,Jan,19,a,1,4
SPOT-5m-2016-02-17-a,5m,2016,Feb,17,a,2,8
SPOT-5m-2016-03-16-a,5m,2016,Mar,16,a,3,12
SPOT-5m-2016-04-13-a,5m,2016,Apr,13,a,4,16
SPOT-5m-2016-05-18-a,5m,2016,May,18,a,5,21
SPOT-5m-2016-06-15-a,5m,2016,Jun,15,a,6,25
SPOT-5m-2016-07-12-a,5m,2016,Jul,12,a,7,29
SPOT-5m-2016-08-10-a,5m,2016,Aug,10,a,8,33
SPOT-5m-2016-12-14-a,5m,2016,Dec,14,a,12,51
SPOT-5m-2017-01-31-a,5m,2017,Jan,31,a,1,5
SPOT-5m-2017-02-15-a,5m,2017,Feb,15,a,2,7
SPOT-5m-2017-03-15-a,5m,2017,Mar,15,a,3,11
SPOT-5m-2017-04-12-a,5m,2017,Apr,12,a,4,15
SPOT-5m-2017-05-24-a,5m,2017,May,24,a,5,21
SPOT-5m-2017-06-14-a,5m,2017,Jun,14,a,6,24
SPOT-5m-2017-07-11-a,5m,2017,Jul,11,a,7,28
SPOT-5m-2017-08-8-a,5m,2017,Aug,8,a,8,32
SPOT-5m-2017-09-25-a,5m,2017,Sep,25,a,9,39
SPOT-5m-2017-10-11-a,5m,2017,Oct,11,a,10,41
SPOT-5m-2017-12-13-a,5m,2017,Dec,13,a,12,50
SPOT-5m-2018-01-17-a,5m,2018,Jan,17,a,1,3
SPOT-5m-2018-02-14-a,5m,2018,Feb,14,a,2,7
SPOT-5m-2018-03-14-a,5m,2018,Mar,14,a,3,11
SPOT-5m-2018-04-18-a,5m,2018,Apr,18,a,4,16
SPOT-5m-2018-05-16-a,5m,2018,May,16,a,5,20
SPOT-5m-2018-06-13-a,5m,2018,Jun,13,a,6,24
SPOT-5m-2018-07-18-a,5m,2018,Jul,18,a,7,29
