ASV,Kingdom,Phylum,Class,Order,Family,Genus
sq2354,Bacteria,Marinimicrobia_SAR406,Marinimicrobia_SAR406_uc,Marinimicrobia_SAR406_uc,Marinimicrobia_SAR406_uc,Marinimicrobia_SAR406_uc
sq2355,Bacteria,Chloroflexi,Chloroflexi_uc,Chloroflexi_uc,Chloroflexi_uc,Chloroflexi_uc
sq2356,Bacteria,Chloroflexi,Chloroflexi_uc,Chloroflexi_uc,Chloroflexi_uc,Chloroflexi_uc
sq2357,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,Magnetospiraceae_uc
sq2358,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea
sq2359,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,FS140-16B-02
sq2360,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum
sq2361,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus
sq2363,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade_uc,SAR86_clade_uc
sq2364,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Cand_Nitrosopelagicus
sq2365,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3
sq2366,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_Clade_I,SAR11_Clade_Ib
sq2367,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Cand_Nitrosopelagicus
sq2369,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
sq2370,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9,NS9_uc
sq2371,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,Magnetospiraceae_uc
sq2372,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9,NS9_uc
sq2373,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS7,NS7_uc
sq2374,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter
sq2375,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina
sq2377,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_Clade_IV,SAR11_Clade_IV_uc
sq2378,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
sq2379,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_Clade_III,SAR11_Clade_III_uc
sq2380,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9,NS9_uc
sq2381,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Verticiella
sq2382,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5)_clade
sq2383,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax
sq2384,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_Clade_I,SAR11_Clade_Ib
sq2385,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04
sq2386,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_Clade_I,SAR11_Clade_Ia
sq2387,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5)_clade
sq2389,Bacteria,Marinimicrobia_SAR406,Marinimicrobia_SAR406_uc,Marinimicrobia_SAR406_uc,Marinimicrobia_SAR406_uc,Marinimicrobia_SAR406_uc
sq2390,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Cand_Nitrosopumilus
sq2391,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077536,Ga0077536_uc,Ga0077536_uc
sq2392,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter
sq2393,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II_uc,Marine_Group_II_uc
sq2394,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_uc
sq2395,Bacteria,Proteobacteria,Gammaproteobacteria,OM182_clade,OM182_clade_uc,OM182_clade_uc
sq2396,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27_clade
sq2397,Bacteria,Proteobacteria,Gammaproteobacteria,AT-s2-59,AT-s2-59_uc,AT-s2-59_uc
sq2398,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_Clade_II,SAR11_Clade_II_uc
sq2399,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04
sq2400,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula
sq2401,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,Porticoccus
sq2403,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia
sq2404,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter
sq2405,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_Clade_II,SAR11_Clade_II_uc
sq2406,Bacteria,Marinimicrobia_SAR406,Marinimicrobia_SAR406_uc,Marinimicrobia_SAR406_uc,Marinimicrobia_SAR406_uc,Marinimicrobia_SAR406_uc
sq2407,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacterales_uc,Vicinamibacterales_uc
sq2408,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_Clade_II,SAR11_Clade_II_uc
sq2409,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina
sq2410,Bacteria,Acidobacteriota,Acidobacteriae,PAUC26f,PAUC26f_uc,PAUC26f_uc
sq2411,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NS10
sq2412,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade_uc,SAR202_clade_uc
sq2414,Bacteria,SAR324_clade,SAR324_clade_uc,SAR324_clade_uc,SAR324_clade_uc,SAR324_clade_uc
sq2415,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_Clade_II,SAR11_Clade_II_uc
sq2416,Bacteria,Gemmatimonadota,BD2-11,BD2-11_uc,BD2-11_uc,BD2-11_uc
sq2417,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9,NS9_uc
sq2418,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_Clade_I,SAR11_Clade_Ib
